"STATEFP","COUNTYFP","COUNTYNS","GEOIDFQ","GEOID","NAME","NAMELSAD","STUSPS","STATE_NAME","LSAD","ALAND","AWATER","fips_code","state_fips","county_fips","state_abbr","county_name","year","month","total_population","median_household_income","total_households","households_with_computer","households_with_computer_and_broadband","households_with_broadband","households_with_no_internet","housing_units","connections_200kbps_per_1000","connections_10mbps_per_1000","connections_25mbps_per_1000","connections_100mbps_per_1000","residential_connections_k","nonresidential_connections_k","total_connections_k","broadband_access_rate","res_conn_per_household","percent_white_alone","percent_black_alone","percent_native_american_alone","percent_asian_alone","percent_other_race_alone","percent_two_or_more_races","percent_hispanic_latino","pct_hs_or_higher","pct_ba_or_higher"
1,3,161527,"0500000US01003",1003,"Baldwin","Baldwin County","AL","Alabama","06",4117725048,1132887203,1003,1,3,"AL","Baldwin County, Alabama",2023,12,233420,71039,90802,90802,80169,80742,8127,135669,4,4,3,3,91,8,99,0.89,1,0.84,0.08,0,0.01,0.02,0.05,0.05,0.44,0.21
1,69,161560,"0500000US01069",1069,"Houston","Houston County","AL","Alabama","06",1501742235,4795415,1069,1,69,"AL","Houston County, Alabama",2023,12,107040,55064,41543,41543,33943,34312,6100,50623,4,4,4,3,37,4,41,0.83,0.89,0.67,0.27,0,0.01,0.01,0.04,0.04,0.41,0.15
1,5,161528,"0500000US01005",1005,"Barbour","Barbour County","AL","Alabama","06",2292160151,50523213,1005,1,5,"AL","Barbour County, Alabama",2023,12,24877,39712,9016,9016,6093,6151,2194,11816,4,4,4,3,8,1,9,0.68,0.89,0.45,0.47,0,0.01,0.04,0.02,0.05,0.36,0.07
1,119,161585,"0500000US01119",1119,"Sumter","Sumter County","AL","Alabama","06",2340898915,24634880,1119,1,119,"AL","Sumter County, Alabama",2023,12,12196,31726,4798,4798,3249,3352,1272,6386,3,2,2,1,3,0,3,0.7,0.63,0.25,0.72,0,0,0,0.02,0.01,0.44,0.14
5,91,69166,"0500000US05091",5091,"Miller","Miller County","AR","Arkansas","06",1616257232,36848741,5091,5,91,"AR","Miller County, Arkansas",2023,12,42682,47613,15863,15863,12443,12598,2221,19869,4,4,4,3,15,1,16,0.79,0.95,0.68,0.25,0.01,0,0.03,0.03,0.04,0.4,0.1
5,133,69182,"0500000US05133",5133,"Sevier","Sevier County","AR","Arkansas","06",1459636819,45919661,5133,5,133,"AR","Sevier County, Arkansas",2023,12,15913,53567,5543,5543,4282,4301,960,6798,4,4,4,3,5,0,5,0.78,0.9,0.58,0.05,0.03,0,0.29,0.05,0.34,0.36,0.08
5,93,69899,"0500000US05093",5093,"Mississippi","Mississippi County","AR","Arkansas","06",2336409866,72224609,5093,5,93,"AR","Mississippi County, Arkansas",2023,12,40361,50012,15005,15005,11713,12178,2084,19164,4,3,3,2,12,1,13,0.81,0.8,0.58,0.35,0,0,0.01,0.05,0.05,0.41,0.1
6,37,277283,"0500000US06037",6037,"Los Angeles","Los Angeles County","CA","California","06",10515988121,1785003256,6037,6,37,"CA","Los Angeles County, California",2023,12,9936690,83411,3363093,3363093,3010962,3033814,252628,3675720,5,5,5,4,3229,318,3547,0.9,0.96,0.4,0.08,0.01,0.15,0.23,0.14,0.49,0.42,0.24
6,87,277308,"0500000US06087",6087,"Santa Cruz","Santa Cruz County","CA","California","06",1152818089,419720203,6087,6,87,"CA","Santa Cruz County, California",2023,12,268571,104409,96487,96487,88670,89290,4780,107128,5,5,5,4,95,8,103,0.93,0.98,0.66,0.01,0.01,0.05,0.15,0.12,0.34,0.41,0.28
6,97,1657246,"0500000US06097",6097,"Sonoma","Sonoma County","CA","California","06",4080103614,497291856,6097,6,97,"CA","Sonoma County, California",2023,12,488436,99266,189653,189653,176341,177193,8883,209020,5,5,5,4,184,20,204,0.93,0.97,0.68,0.02,0.01,0.04,0.14,0.11,0.28,0.41,0.25
